fn;small;large;common
r_fib;38;42;37;
j_fib;35;40;37;
p_fib;30;34;37;
g_fib;37;41;37;
r_matmul;340;730;270
j_matmul;260;600;270
p_matmul;120;254;270
g_matmul;340;710;270
r_prime;15000000;120000000;12000000
j_prime;4000000;33500000;12000000
p_prime;1400000;11200000;12000000
g_prime;15000000;115000000;12000000
r_float;6000000;58000000;3000000
j_float;1900000;6500000;3000000
p_float;570000;5300000;3000000
g_float;5000000;49000000;3000000
r_thumbnailer;./input/thumbnailer/r_small.jpg;./input/thumbnailer/r_big.jpg;
g_thumbnailer;./input/thumbnailer/g_small.jpg;./input/thumbnailer/g_big.jpg;
r_mst;2100;6550;
j_mst;800;2600;
p_mst;300;825;
g_mst;225;825;
r_template;2300000;22000000;
j_template;150000;1710000;
p_template;150000;1250000;
g_template;160000;;
r_aes;8800;28500;
j_aes;650;2500;
p_aes;150;500;
g_aes;9500;31000;
